Metric,Segment,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,2027-03,2027-04,2027-05,2027-06,2027-07,2027-08,2027-09,2027-10,2027-11,2027-12,2028-01,2028-02,2028-03,2028-04,2028-05,2028-06,2028-07,2028-08,2028-09,2028-10,2028-11,2028-12
Sum of OpeningGBV,NON PRIME,,,,,,,,Sum of OpeningGBV,NON PRIME,117689684.21999998,110675448.3,103791467.94,95838869.72,89566651.78,83545603.9,76287993.01,70998805.13999999,65991695.580000006,59495679.980000004,55343670.980000004,51613461.370000005,46148933.81,43302842.760000005,40618800.650000006,36217762.3,34077597.47,32039226.249999996,28517426.610000003,26848391.12,25292542.11,22518158.85,21240724.099999998,20047428.08,17825867.56,16843663.740000002,15923864.56,14124078.36,13366326.7,12654948.180000002,11224841.92,10636043.370000001,10081241.79,8973791.36,8509730.75,8070531.569999999,7150861.290000001,6783637.5,6436109.590000001
,NRP-L,,,,,,,,,NRP-L,5517434.639999999,5356134.590000001,5197880.95,5033242.8,4871227.029999999,4709015.49,4554235.65,4406649.5200000005,4261218.840000001,4123209.96,3992362.039999999,3866675.37,3746878.95,3633513.5600000005,3526096.6800000006,3424147.360000001,3328034.2500000005,3236570.9200000004,3150051.3200000003,3068180.710000001,2991597.29,2919414.76,2850210.88,2785472.0799999996,2725330.3700000006,2669240.5700000003,2614967.3000000003,2564369.99,2516030.27,2469636.4400000004,2425182.9199999995,2382264.24,2340811.4899999998,2300737.1299999994,2261930.0899999994,2224261.2100000004,2187722.92,2152265.25,2117837.6600000006
,NRP-M,,,,,,,,,NRP-M,106116574.60999998,102756249.22,99438311.71000001,95705301.91000001,92496609.28000002,89412827.46000001,85735009.79999998,82769504.28999999,80001102.28,76549873.00999999,74041368.0,71734583.06,68646146.68,66724090.86000001,64897876.85999999,62147420.839999996,60464006.349999994,58794734.319999985,56221294.51,54699111.050000004,53236488.199999996,50924172.7,49585669.660000004,48295622.32,46258282.03000001,45074094.18,43931308.64,42134149.63,41080663.76,40062002.47,38498563.699999996,37555804.95,36638722.09,35185612.35,34334594.62,33503840.239999995,32112053.009999998,31337671.819999997,30583136.700000007
,NRP-S,,,,,,,,,NRP-S,43014489.96,41295869.91,39568702.239999995,37671982.339999996,36060091.3,34513986.7,32728629.050000004,31346131.91,30007904.35,28402205.560000002,27210373.89,26094921.59,24687008.549999997,23767537.449999996,22887386.699999996,21658147.42,20874906.749999996,20127364.759999998,19031224.87,18364955.62,17729864.46,16772266.309999999,16206225.110000003,15667454.950000003,14834340.32,14354630.89,13895706.48,13161784.780000001,12750518.610000001,12356978.640000002,11721854.46,11366856.469999999,11026441.18,10459860.34,10151650.67,9852723.45,9321836.49,9048005.139999999,8782803.57
,PRIME,,,,,,,,,PRIME,3643667.2,3278581.04,2900649.3200000003,2536008.14,2222270.41,1934220.0299999996,1686537.4200000002,1470679.1300000001,1282005.0399999998,1117890.12,975491.04,852019.63,745258.4900000001,652819.68,572900.9099999999,503836.38999999996,444161.70999999996,392579.25999999995,347968.67,309378.17000000004,275985.1,247090.84999999998,222074.5,200413.28,181644.51,165391.71,151304.25,139088.52,128491.95000000001,119294.20000000001,111306.13,104364.38,98344.65,93102.72,88532.60999999999,84549.72,81226.02000000002,78348.72,75809.18
Sum of Coll_Principal,NON PRIME,,,,,,,,Sum of Coll_Principal,NON PRIME,-6983274.44,-6637763.620000001,-6434360.390000001,-6082861.359999999,-5821924.41,-5556616.84,-5104628.91,-4825207.35,-4491970.72,-4007003.2400000007,-3594548.48,-3281304.2600000002,-2831633.86,-2664604.7099999995,-2452197.37,-2136522.7399999998,-2034380.29,-1892799.51,-1663744.6399999997,-1551057.68,-1447364.67,-1272784.0100000002,-1189824.9100000001,-1113215.69,-978161.6600000001,-916621.99,-859619.8800000001,-752902.45,-707053.33,-664451.65,-582601.56,-548116.4,-515933.43000000005,-453604.16000000003,-427283.83999999997,-402614.48,-352265.88,-332096.93000000005,-313177.68000000005
,NRP-L,,,,,,,,,NRP-L,-159063.78,-156799.25000000003,-163770.89999999997,-160749.33000000002,-160795.76,-153099.41000000006,-145943.91999999995,-143604.28999999998,-135850.26,-128590.81,-123211.76999999999,-117130.14000000001,-110516.01999999997,-104444.14,-100034.21999999999,-94388.86000000002,-89968.23999999999,-85321.65999999999,-80841.73999999998,-75746.22,-71792.05999999998,-68987.15,-64704.70999999999,-60274.880000000005,-56393.83000000001,-54698.10999999999,-51172.8,-49051.18,-47189.18,-45320.61,-43848.54,-42424.0,-41082.90000000001,-39847.31,-38724.130000000005,-37616.969999999994,-36555.90999999999,-35542.98,-34567.170000000006
,NRP-M,,,,,,,,,NRP-M,-3383003.6399999997,-3259005.9099999997,-3219937.14,-3176603.0599999996,-3045335.5700000003,-3041891.55,-2919050.5200000005,-2731532.360000001,-2671341.73,-2465783.34,-2273768.83,-2161550.4200000004,-2066572.87,-1954254.63,-1891966.78,-1822434.5300000003,-1795573.0000000002,-1731479.71,-1642834.85,-1582188.96,-1531055.1399999997,-1454951.68,-1406594.7200000002,-1363368.8800000001,-1297967.8599999999,-1256183.9400000002,-1215764.74,-1163822.57,-1128585.79,-1094450.91,-1048838.81,-1021753.03,-993169.22,-951304.95,-930115.6299999999,-908071.5100000001,-870039.27,-848849.3099999999,-827903.04
,NRP-S,,,,,,,,,NRP-S,-2448382.7799999993,-2382425.5900000003,-2305239.3599999994,-2206648.44,-2106166.3699999996,-2013374.5199999996,-1886841.4300000002,-1824965.52,-1745006.45,-1638756.19,-1550519.5400000003,-1458824.3199999998,-1364991.5700000003,-1310078.2300000002,-1242612.1400000001,-1179270.92,-1130733.1699999997,-1083789.5699999998,-1018725.8200000001,-977121.8800000001,-938093.0100000001,-881963.26,-845620.6099999999,-812627.51,-763508.17,-734971.8200000001,-707491.57,-666798.6000000001,-642369.3300000002,-619074.5599999999,-585674.3,-564717.3999999999,-545623.11,-515487.18999999994,-500306.43,-486202.16000000003,-459218.6099999999,-445313.06,-431792.67
,PRIME,,,,,,,,,PRIME,-362330.80000000005,-375182.45,-362389.07000000007,-312227.93000000005,-286716.16000000003,-246693.77,-215037.91,-188015.46,-163601.42999999996,-141979.23,-123138.32,-106562.45,-92166.66999999998,-79681.5,-68860.48000000001,-59494.05,-51392.31999999999,-44387.30999999999,-38332.83999999999,-33101.049999999996,-28631.98,-24734.66,-21365.44,-18461.120000000003,-15935.31,-13761.939999999999,-11883.809999999996,-10259.720000000003,-8857.259999999998,-7645.100000000001,-6597.3600000000015,-5719.28,-4940.58,-4268.59,-3735.1200000000003,-3403.2999999999997,-3002.8499999999995,-2667.15,-2381.3999999999996
